"job.id" "instance_size" "ipn" "ranking" "type"
354 100 3 "2-1-3" "no-order"
355 100 3 "2-1-3" "no-order"
356 100 3 "2-1-3" "no-order"
357 100 3 "2-1-3" "no-order"
358 100 3 "2-1-3" "no-order"
359 100 3 "2-1-3" "no-order"
360 100 3 "2-1-3" "no-order"
361 100 3 "2-3-1" "explicit-ranking"
362 100 3 "2-3-1" "explicit-ranking"
363 100 3 "2-3-1" "explicit-ranking"
364 100 3 "2-3-1" "explicit-ranking"
365 100 3 "2-3-1" "explicit-ranking"
366 100 3 "2-3-1" "explicit-ranking"
367 100 3 "2-3-1" "explicit-ranking"
368 100 3 "2-3-1" "explicit-ranking"
369 100 3 "2-3-1" "explicit-ranking"
370 100 3 "2-3-1" "explicit-ranking"
371 100 3 "2-3-1" "no-order"
372 100 3 "2-3-1" "no-order"
373 100 3 "2-3-1" "no-order"
374 100 3 "2-3-1" "no-order"
375 100 3 "2-3-1" "no-order"
376 100 3 "2-3-1" "no-order"
377 100 3 "2-3-1" "no-order"
378 100 3 "2-3-1" "no-order"
379 100 3 "2-3-1" "no-order"
380 100 3 "2-3-1" "no-order"
381 100 3 "3-1-2" "explicit-ranking"
382 100 3 "3-1-2" "explicit-ranking"
383 100 3 "3-1-2" "explicit-ranking"
384 100 3 "3-1-2" "explicit-ranking"
385 100 3 "3-1-2" "explicit-ranking"
386 100 3 "3-1-2" "explicit-ranking"
387 100 3 "3-1-2" "explicit-ranking"
388 100 3 "3-1-2" "explicit-ranking"
389 100 3 "3-1-2" "explicit-ranking"
390 100 3 "3-1-2" "explicit-ranking"
391 100 3 "3-1-2" "no-order"
392 100 3 "3-1-2" "no-order"
393 100 3 "3-1-2" "no-order"
394 100 3 "3-1-2" "no-order"
395 100 3 "3-1-2" "no-order"
396 100 3 "3-1-2" "no-order"
397 100 3 "3-1-2" "no-order"
398 100 3 "3-1-2" "no-order"
399 100 3 "3-1-2" "no-order"
400 100 3 "3-1-2" "no-order"
401 100 3 "3-2-1" "explicit-ranking"
402 100 3 "3-2-1" "explicit-ranking"
403 100 3 "3-2-1" "explicit-ranking"
404 100 3 "3-2-1" "explicit-ranking"
405 100 3 "3-2-1" "explicit-ranking"
406 100 3 "3-2-1" "explicit-ranking"
407 100 3 "3-2-1" "explicit-ranking"
408 100 3 "3-2-1" "explicit-ranking"
409 100 3 "3-2-1" "explicit-ranking"
410 100 3 "3-2-1" "explicit-ranking"
411 100 3 "3-2-1" "no-order"
412 100 3 "3-2-1" "no-order"
413 100 3 "3-2-1" "no-order"
414 100 3 "3-2-1" "no-order"
415 100 3 "3-2-1" "no-order"
416 100 3 "3-2-1" "no-order"
417 100 3 "3-2-1" "no-order"
418 100 3 "3-2-1" "no-order"
419 100 3 "3-2-1" "no-order"
420 100 3 "3-2-1" "no-order"
421 100 5 "1-2-3" "explicit-ranking"
422 100 5 "1-2-3" "explicit-ranking"
423 100 5 "1-2-3" "explicit-ranking"
424 100 5 "1-2-3" "explicit-ranking"
425 100 5 "1-2-3" "explicit-ranking"
426 100 5 "1-2-3" "explicit-ranking"
427 100 5 "1-2-3" "explicit-ranking"
428 100 5 "1-2-3" "explicit-ranking"
429 100 5 "1-2-3" "explicit-ranking"
430 100 5 "1-2-3" "explicit-ranking"
431 100 5 "1-2-3" "no-order"
432 100 5 "1-2-3" "no-order"
433 100 5 "1-2-3" "no-order"
434 100 5 "1-2-3" "no-order"
435 100 5 "1-2-3" "no-order"
436 100 5 "1-2-3" "no-order"
437 100 5 "1-2-3" "no-order"
438 100 5 "1-2-3" "no-order"
